EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT
842142112735,,"20,50","495,00"
842142112742,,"26,50","635,00"
842142112759,,"41,00","990,00"
842142112766,,"50,00","1 200,00"
842142112773,,"59,00","1 400,00"
842142112780,,"20,50","495,00"
842142112797,,"26,50","635,00"
842142112803,,"41,00","990,00"
842142112810,,"50,00","1 200,00"
842142112827,,"59,00","1 400,00"
842142115774,,"7,20","195,00"
842142115781,,"8,80","245,00"
842142115798,,"10,40","275,00"
842142115804,,"16,00","445,00"
842142115811,,"23,20","625,00"
842142115828,,"7,20","195,00"
842142115835,,"8,80","245,00"
842142115842,,"10,40","275,00"
842142115859,,"16,00","445,00"
842142115866,,"23,20","625,00"
842142115422,,"54,00","1 495,00"
842142115446,,"80,00","2 195,00"
842142115439,,"108,00","2 995,00"
842142115453,,"160,00","3 995,00"
842142113824,,"52,00","1 400,00"
842142113831,,"72,00","1 950,00"
842142113848,,"84,00","2 300,00"
842142113794,,"52,00","1 400,00"
842142113800,,"72,00","1 950,00"
842142113817,,"84,00","2 300,00"
842142105416,,"20,00","550,00"
842142105423,,"40,00","1 000,00"
842142100145,,"22,00","600,00"
842142100152,,"27,20","750,00"
842142105430,,"20,00","550,00"
842142105447,,"40,00","1 000,00"
842142106635,,"15,60","425,00"
842142106642,,"22,80","625,00"
842142101654,,"18,00","495,00"
842142106611,,"15,60","425,00"
842142106628,,"22,80","625,00"
842142101685,,"18,00","495,00"
842142105898,,"6,00","165,00"
842142105683,,"7,20","195,00"
842142105904,,"8,80","245,00"
842142105690,,"10,40","275,00"
842142108646,,"16,00","445,00"
842142108677,,"23,20","625,00"
842142105874,,"6,00","165,00"
842142105669,,"7,20","195,00"
842142105881,,"8,80","245,00"
842142105676,,"10,40","275,00"
842142108585,,"16,00","445,00"
842142108615,,"23,20","625,00"
842142106581,,"9,60","265,00"
842142110564,,"11,20","300,00"
842142107076,,"16,80","455,00"
842142110571,,"24,40","675,00"
842142106598,,"36,00","950,00"
842142106604,,"46,80","1 250,00"
842142104242,,"9,60","265,00"
842142110540,,"11,20","300,00"
842142107083,,"16,80","455,00"
842142110557,,"24,40","675,00"
842142106567,,"36,00","950,00"
842142106574,,"46,80","1 250,00"
842142111950,,"4,00","110,00"
842142111967,,"5,20","145,00"
842142111974,,"6,00","165,00"
842142111981,,"7,20","195,00"
842142111998,,"8,80","235,00"
842142112001,,"13,60","370,00"
842142112018,,"19,60","535,00"
842142112025,,"29,20","790,00"
842142112032,,"38,00","1 050,00"
842142113251,,"145,00","3 500,00"
842142113268,,"320,00","7 000,00"
842142113275,,"320,00","7 000,00"
842142112049,,"4,00","110,00"
842142112056,,"5,20","145,00"
842142112063,,"6,00","165,00"
842142112070,,"7,20","195,00"
842142112087,,"8,80","235,00"
842142112094,,"13,60","370,00"
842142112100,,"19,60","535,00"
842142112117,,"29,20","790,00"
842142112124,,"38,00","1 050,00"
842142113282,,"145,00","3 500,00"
842142113299,,"320,00","7 000,00"
842142113305,,"320,00","7 000,00"
842142115514,,"10,80","295,00"
842142115545,,"10,80","295,00"
842142115484,,"10,80","295,00"
842142115521,,"10,80","295,00"
842142115552,,"10,80","295,00"
842142115491,,"10,80","295,00"
842142115538,,"10,80","295,00"
842142115569,,"10,80","295,00"
842142115507,,"10,80","295,00"
842142113619,,"23,20","625,00"
842142113626,,"34,00","900,00"
842142113633,,"44,40","1 200,00"
842142113640,,"23,20","625,00"
842142113657,,"34,00","900,00"
842142113664,,"44,40","1 200,00"
842142113435,,"7,20","195,00"
842142113442,,"8,80","235,00"
842142113459,,"13,60","370,00"
842142110151,,"31,60","850,00"
842142106475,,"39,80","1 095,00"
842142106482,,"47,20","1 275,00"
842142106499,,"56,00","1 500,00"
842142113466,,"7,20","195,00"
842142113473,,"8,80","235,00"
842142113480,,"13,60","370,00"
842142110168,,"31,60","850,00"
842142110175,,"39,80","1 095,00"
842142110182,,"47,20","1 275,00"
842142110199,,"56,00","1 500,00"
842142109179,,"12,00","335,00"
842142109209,,"15,20","415,00"
842142109230,,"18,40","500,00"
842142109261,,"23,20","630,00"
842142108776,,"12,00","335,00"
842142108806,,"15,20","415,00"
842142108837,,"18,40","500,00"
842142108868,,"23,20","630,00"
842142105799,,"3,50","95,00"
842142105805,,"4,00","110,00"
842142105812,,"5,20","145,00"
842142105850,,"7,20","195,00"
842142105638,,"6,00","165,00"
842142105829,,"7,20","195,00"
842142105645,,"8,80","235,00"
842142105652,,"13,60","370,00"
842142105867,,"13,60","375,00"
842142105836,,"19,60","535,00"
842142105843,,"29,20","790,00"
842142105706,,"3,50","95,00"
842142105713,,"4,00","110,00"
842142105553,,"5,20","145,00"
842142105751,,"7,20","195,00"
842142105560,,"6,00","165,00"
842142105720,,"7,20","195,00"
842142105577,,"8,80","235,00"
842142105584,,"13,60","370,00"
842142105768,,"13,60","375,00"
842142105737,,"19,60","535,00"
842142105744,,"29,20","790,00"
842142113909,,"4,40","120,00"
842142114081,,"18,40","500,00"
842142113930,,"7,60","210,00"
842142114111,,"26,40","725,00"
842142113961,,"10,80","300,00"
842142114142,,"32,00","850,00"
842142113992,,"13,20","350,00"
842142114029,,"15,60","425,00"
842142114050,,"18,80","500,00"
842142109506,,"4,40","120,00"
842142110625,,"18,40","500,00"
842142114241,,"18,40","500,00"
842142109568,,"7,60","210,00"
842142110410,,"26,40","725,00"
842142114258,,"26,40","725,00"
842142110472,,"10,80","300,00"
842142114265,,"32,00","850,00"
842142111004,,"13,20","350,00"
842142111578,,"15,60","425,00"
842142110359,,"18,80","500,00"
842142110779,,"10,00","275,00"
842142113893,,"4,40","120,00"
842142114074,,"18,40","500,00"
842142113923,,"7,60","210,00"
842142114104,,"26,40","725,00"
842142113954,,"10,80","300,00"
842142114135,,"32,00","850,00"
842142113985,,"13,20","350,00"
842142114012,,"15,60","425,00"
842142114043,,"18,80","500,00"
842142109520,,"4,40","120,00"
842142110632,,"18,40","500,00"
842142114272,,"18,40","500,00"
842142109582,,"7,60","210,00"
842142110380,,"26,40","725,00"
842142110441,,"10,80","300,00"
842142111028,,"13,20","350,00"
842142111592,,"15,60","425,00"
842142110328,,"18,80","500,00"
842142113886,,"4,40","120,00"
842142114067,,"18,40","500,00"
842142113916,,"7,60","210,00"
842142114098,,"26,40","725,00"
842142113947,,"10,80","300,00"
842142114128,,"32,00","850,00"
842142113978,,"13,20","350,00"
842142114005,,"15,60","425,00"
842142114036,,"18,80","500,00"
842142109537,,"4,40","120,00"
842142110809,,"18,40","500,00"
842142114302,,"18,40","500,00"
842142109599,,"7,60","210,00"
842142110397,,"26,40","725,00"
842142114319,,"26,40","725,00"
842142111639,,"32,00","850,00"
842142111035,,"13,20","350,00"
842142111608,,"15,60","425,00"
842142110335,,"18,80","500,00"
842142109513,,"4,40","120,00"
842142110649,,"18,40","500,00"
842142109575,,"7,60","210,00"
842142111646,,"32,00","850,00"
842142111011,,"13,20","350,00"
842142111585,,"15,60","425,00"
842142110342,,"18,80","500,00"
842142109452,,"4,00","110,00"
842142109490,,"2,00","55,00"
842142109476,,"8,40","230,00"
842142109551,,"3,60","100,00"
842142110366,,"12,80","350,00"
842142110427,,"5,20","140,00"
842142110977,,"18,80","500,00"
842142110991,,"8,00","220,00"
842142111547,,"28,00","750,00"
842142111561,,"11,60","320,00"
842142110243,,"31,20","850,00"
842142110304,,"12,80","350,00"
842142110762,,"8,00","225,00"
842142115002,,"16,40","465,00"
842142115019,,"24,20","685,00"
842142115026,,"32,80","925,00"
842142110601,,"16,40","465,00"
842142110656,,"24,20","685,00"
842142111653,,"32,80","925,00"
842142114739,,"16,40","465,00"
842142114753,,"24,20","685,00"
842142114968,,"32,80","925,00"
842142115064,,"16,40","465,00"
842142115071,,"24,20","685,00"
842142115088,,"32,80","925,00"
842142109445,,"4,00","110,00"
842142109483,,"2,00","55,00"
842142109469,,"8,40","230,00"
842142109544,,"3,60","100,00"
842142110373,,"12,80","350,00"
842142110434,,"5,20","140,00"
842142110960,,"18,80","500,00"
842142110984,,"8,00","220,00"
842142111530,,"28,00","750,00"
842142111554,,"11,60","320,00"
842142110250,,"31,20","850,00"
842142110311,,"12,80","350,00"
842142110755,,"8,00","225,00"
842142114975,,"16,40","465,00"
842142114982,,"24,20","685,00"
842142114999,,"32,80","925,00"
842142110618,,"16,40","465,00"
842142110663,,"24,20","685,00"
842142111660,,"32,80","925,00"
842142114937,,"16,40","465,00"
842142114944,,"24,20","685,00"
842142114951,,"32,80","925,00"
842142115033,,"16,40","465,00"
842142115040,,"24,20","685,00"
842142115057,,"32,80","925,00"
842142108288,,"10,40","285,00"
842142108318,,"12,00","335,00"
842142108349,,"15,20","415,00"
842142108370,,"18,40","500,00"
842142108400,,"23,20","630,00"
842142110700,,"28,80","790,00"
842142106680,,"3,50","95,00"
842142105973,,"4,00","110,00"
842142105980,,"5,20","145,00"
842142105997,,"6,00","165,00"
842142106000,,"7,20","195,00"
842142106017,,"13,60","370,00"
842142106024,,"19,60","535,00"
842142105478,,"39,80","1 095,00"
842142105485,,"47,20","1 275,00"
842142105492,,"56,00","1 500,00"
842142111097,,"76,00","1 825,00"
842142106666,,"3,50","95,00"
842142105911,,"4,00","110,00"
842142105928,,"5,20","145,00"
842142105935,,"6,00","165,00"
842142105942,,"7,20","195,00"
842142105959,,"13,60","370,00"
842142105966,,"19,60","535,00"
842142105508,,"39,80","1 095,00"
842142105515,,"47,20","1 275,00"
842142105522,,"56,00","1 500,00"
842142111066,,"76,00","1 825,00"
842142106864,,"12,50","345,00"
842142103825,,"14,40","400,00"
842142103832,,"18,00","490,00"
842142103849,,"21,60","590,00"
842142106932,,"34,00","925,00"
842142106949,,"42,80","1 150,00"
842142106840,,"12,50","345,00"
842142103771,,"14,40","400,00"
842142100114,,"18,00","490,00"
842142100121,,"21,60","590,00"
842142100138,,"27,20","735,00"
842142106895,,"34,00","925,00"
842142106901,,"42,80","1 150,00"
842142111240,,"12,50","345,00"
842142111257,,"14,40","400,00"
842142111264,,"18,00","490,00"
842142111271,,"21,60","590,00"
842142111288,,"27,20","735,00"
842142111295,,"34,00","925,00"
842142111301,,"42,80","1 150,00"
842142109377,,"12,50","345,00"
842142109384,,"14,40","400,00"
842142109391,,"18,00","490,00"
842142109407,,"21,60","590,00"
842142109414,,"27,20","735,00"
842142109421,,"34,00","925,00"
842142109438,,"42,80","1 150,00"
842142111455,,"12,50","345,00"
842142111462,,"14,40","400,00"
842142111479,,"18,00","490,00"
842142111486,,"21,60","590,00"
842142111493,,"27,20","735,00"
842142111509,,"34,00","925,00"
842142111516,,"42,80","1 150,00"
842142106857,,"12,50","345,00"
842142103788,,"14,40","400,00"
842142103795,,"18,00","490,00"
842142103801,,"21,60","590,00"
842142103818,,"27,20","735,00"
842142106918,,"34,00","925,00"
842142106925,,"42,80","1 150,00"
842142110106,,"6,00","165,00"
842142106178,,"4,80","135,00"
842142124998,,"14,40","405,00"
842142106185,,"6,00","165,00"
842142110113,,"8,80","245,00"
842142106192,,"7,20","195,00"
842142106208,,"8,80","245,00"
842142110120,,"12,40","335,00"
842142106215,,"10,40","275,00"
842142106222,,"16,00","445,00"
842142112261,,"14,80","400,00"
842142106239,,"23,20","625,00"
842142112278,,"22,00","585,00"
842142106246,,"34,00","900,00"
842142112285,,"30,80","845,00"
842142106253,,"44,40","1 200,00"
842142113138,,"145,00","3 500,00"
842142113145,,"320,00","7 000,00"
842142113152,,"320,00","7 000,00"
842142110076,,"6,00","165,00"
842142106031,,"4,80","135,00"
842142125001,,"14,40","405,00"
842142106048,,"6,00","165,00"
842142110083,,"8,80","245,00"
842142105539,,"7,20","195,00"
842142105546,,"8,80","245,00"
842142110090,,"12,40","335,00"
842142104228,,"10,40","275,00"
842142104235,,"16,00","445,00"
842142112230,,"14,80","400,00"
842142106055,,"23,20","625,00"
842142112247,,"22,00","585,00"
842142106062,,"34,00","900,00"
842142112254,,"30,80","845,00"
842142106079,,"44,40","1 200,00"
842142113190,,"145,00","3 500,00"
842142113206,,"320,00","7 000,00"
842142113213,,"320,00","7 000,00"
842142107526,,"54,00","1 300,00"
842142107533,,"58,00","1 400,00"
842142107540,,"70,00","1 700,00"
842142107557,,"86,00","2 100,00"
842142109643,,"46,00","1 200,00"
842142109650,,"58,00","1 500,00"
842142109667,,"70,00","1 900,00"
842142112391,,"24,80","675,00"
842142112407,,"31,60","850,00"
842142112926,,"39,80","1 095,00"
842142112933,,"47,20","1 275,00"
842142112940,,"56,00","1 500,00"
842142112384,,"24,80","675,00"
842142112384,,"31,60","850,00"
842142112896,,"39,80","1 095,00"
842142112902,,"47,20","1 275,00"
842142112919,,"56,00","1 500,00"
842142105386,,"52,00","1 300,00"
842142105393,,"60,00","1 500,00"
842142105409,,"70,00","1 700,00"
842142106550,,"8,80","235,00"
842142106529,,"8,80","235,00"
842142106420,,"6,00","165,00"
842142106437,,"7,20","195,00"
842142106444,,"8,80","245,00"
842142106451,,"16,00","445,00"
842142106468,,"23,20","625,00"
842142106376,,"6,00","165,00"
842142106383,,"7,20","195,00"
842142106390,,"8,80","245,00"
842142106406,,"16,00","445,00"
842142106413,,"23,20","625,00"
842142113169,,"50,00","1 200,00"
842142113176,,"78,00","1 600,00"
842142113183,,"110,00","2 200,00"
842142113220,,"50,00","1 200,00"
842142113237,,"78,00","1 600,00"
842142113244,,"110,00","2 200,00"
842142110731,,"26,00","700,00"
842142110496,,"34,00","950,00"
842142110724,,"26,00","700,00"
842142110489,,"34,00","950,00"
842142109100,,"7,20","200,00"
842142110717,,"16,00","445,00"
842142109117,,"8,80","250,00"
842142109124,,"10,00","275,00"
842142109131,,"14,00","385,00"
842142109148,,"20,00","550,00"
842142103863,,"14,40","400,00"
842142103870,,"18,00","490,00"
842142103887,,"21,60","590,00"
842142106871,,"27,20","735,00"
842142103894,,"14,40","400,00"
842142103900,,"18,00","490,00"
842142103917,,"21,60","590,00"
842142106888,,"27,20","735,00"
842142106338,,"6,00","165,00"
842142106345,,"7,20","195,00"
842142106352,,"8,80","245,00"
842142106369,,"10,40","275,00"
842142106260,,"6,00","165,00"
842142106277,,"7,20","195,00"
842142106284,,"8,80","245,00"
842142106291,,"10,40","275,00"
842142108158,,"30,00","800,00"
842142108172,,"60,00","1 500,00"
842142108189,,"90,00","22,00"
842142111745,,"30,00","800,00"
842142110007,,"60,00","1 500,00"
842142111752,,"90,00","2 200,00"
842142108899,,"180,00","4 300,00"
842142108905,,"395,00","8 500,00"
842142108912,,"665,00","14 000,00"
842142110823,,"180,00","4 300,00"
842142110830,,"395,00","8 500,00"
842142110748,,"665,00","14 000,00"
842142102903,,"65,00","1 500,00"
842142102910,,"95,00","2 300,00"
842142102927,,"145,00","3 500,00"
842142102934,,"216,00","5 000,00"
842142102941,,"320,00","7 000,00"
842142111523,,"65,00","1 500,00"
842142102958,,"95,00","2 300,00"
842142102965,,"145,00","3 500,00"
842142102972,,"216,00","5 000,00"
842142102989,,"320,00","7 000,00"
842142102996,,"32,00","775,00"
842142103009,,"42,00","1 000,00"
842142103016,,"32,00","775,00"
842142103023,,"42,00","1 000,00"
842142103542,,"1,90","50,00"
842142103559,,"1,90","50,00"
842142103566,,"4,60","125,00"
842142103573,,"4,60","125,00"
842142103146,,"85,00","2 000,00"
842142103153,,"120,00","2 900,00"
842142103160,,"180,00","4 300,00"
842142103177,,"260,00","5 500,00"
842142108875,,"395,00","8 500,00"
842142103184,,"85,00","2 000,00"
842142103191,,"120,00","2 900,00"
842142103207,,"180,00","4 300,00"
842142103214,,"260,00","5 500,00"
842142108882,,"395,00","8 500,00"
842142103221,,"325,00","7 000,00"
842142103238,,"425,00","9 000,00"
842142103245,,"625,00","13 000,00"
842142103252,,"810,00","17 000,00"
842142103306,,"45,00","1 000,00"
842142110946,,"65,00","1 500,00"
842142103313,,"85,00","2 000,00"
842142110229,,"45,00","1 000,00"
842142110953,,"65,00","1 500,00"
842142110236,,"85,00","2 000,00"
842142103580,,"1,50","40,00"
842142110786,,"1,00","25,00"
842142103597,,"1,50","40,00"
842142110793,,"1,00","25,00"